business_name,business_category,address,city,state,pincode,latitude,longitude,phone_number,website,email,opening_hours,open_now,rating,review_count,description,services,business_status,source_url,collected_timestamp
NS Electrical (UPS Work),Electrician,"H, 7, 1st B Cross Rd, KEB Colony, new Gurappana, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.920148,77.6055957,09742679834,,,Friday12–8 am9 am–12 amSaturday12–8 am9 am–12 amSunday12–8 am9 am–12 amMonday12–8 am9 am–12 amTuesday12–8 am9 am–12 amWednesday12–8 am9 am–12 amThursday12–8 am9 am–12 amSuggest new hours,,5.0,27,,,Operational,"https://www.google.com/maps/place/NS+Electrical+(UPS+Work)/@12.920148,77.6055957,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15ff16b7e545:0x893aed4ce2345848!8m2!3d12.920148!4d77.6055957!16s%2Fg%2F11mydc683b?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:14.482099
SK ELECTRICALS,Electrician,"Maruthi Layout Main Rd, New Gurappana Palya, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9232306,77.603267,07676526010,,,Saturday9 am–10:30 pmSunday9 am–10:30 pmMonday9 am–10:30 pmTuesday9 am–10:30 pmWednesday9 am–10:30 pmThursday9 am–10:30 pmFriday9 am–1 pm3–10:30 pmSuggest new hours,,5.0,106,,,Operational,"https://www.google.com/maps/place/SK+ELECTRICALS/@12.9232306,77.603267,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15e26011f787:0x873d1a31c8131fbd!8m2!3d12.9232306!4d77.603267!16s%2Fg%2F11sx1_770s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:22.269532
BTM ELECTRICIAN SERVICE / kerala electrician available,Electrician,"New 99, Gangotri Circle, 23/24, 20th Main Rd, Old Madiwala, Jay Bheema Nagar, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.919218,77.6129254,09037413068,https://btm-electrician.carrd.co/,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,17,,,Operational,"https://www.google.com/maps/place/BTM+ELECTRICIAN+SERVICE+%2F+kerala+electrician+available/@12.919218,77.6129254,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15cba62b7757:0x1abc36825debdc74!8m2!3d12.919218!4d77.6129254!16s%2Fg%2F11nhjjc62k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:28.468426
AAA.ELECTRICIAN,Electrician,"J Cross Rd, near HOLY MARIAM CONVENT SCHOOL, Tavarekere, Bismillahnagar, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9258675,77.6046314,09845840725,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFriday4 am–9 pmSuggest new hours,,,,,,Operational,"https://www.google.com/maps/place/AAA.ELECTRICIAN/@12.9258675,77.6046314,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae155ce85d2cf9:0xcb27e8c588102df5!8m2!3d12.9258675!4d77.6046314!16s%2Fg%2F11wc9v1z4j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:38.932730
RBM Electrician Service,Electrician,"B-27, Audugodi Police Quarters, Adugodi, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560030,12.9403839,77.6119018,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,2,,,Operational,"https://www.google.com/maps/place/RBM+Electrician+Service/@12.9403839,77.6119018,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15001d3303b5:0x3e479ec92c8ebf11!8m2!3d12.9403839!4d77.6119018!16s%2Fg%2F11ywgk1b6w?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:47.973556
Suman electricals and electronics,Electrical supply store,"1st Main Rd, Bharathi Layout, Venkateshwara Layout, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9302823,77.6067914,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.5,2,,,Operational,"https://www.google.com/maps/place/Suman+electricals+and+electronics/@12.9302823,77.6067914,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1580248d9819:0xf4b9a564c7d2e69!8m2!3d12.9302823!4d77.6067914!16s%2Fg%2F11y1ft9cc5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:38:57.365056
Anitha Electrical & Electronic Services,Electrical installation service,"Venkatapura Main Rd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034",Bangalore,Karnataka,560034,12.9209457,77.6346077,09632717651,https://magicpin.com/profilemerchant?userId=58624934,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.9,105,,,Operational,"https://www.google.com/maps/place/Anitha+Electrical+%26+Electronic+Services/@12.9209457,77.6346077,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15f7ade262d5:0x171b2b7e933a625a!8m2!3d12.9209457!4d77.6346077!16s%2Fg%2F11vf9w_cjb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:03.790843
SV Electrical services,Electrician,"89/b,23RD Cross, 16th Main Rd, BTM Layout 2nd Stage, Bengaluru, Karnataka 560076",Bangalore,Karnataka,560076,12.9054413,77.6119009,07019576782,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.7,42,,,Operational,"https://www.google.com/maps/place/SV+Electrical+services/@12.9054413,77.6119009,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae150b3cc84c09:0xec11035736237c31!8m2!3d12.9054413!4d77.6119009!16s%2Fg%2F11lffh1rcf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:11.570970
Umesh Electrical Services,Electrical installation service,"844, 20th B Main Rd, near Indoor Stadium, 8th cross, Nanjappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,Karnataka,560095,12.9427762,77.6217642,07019226106,http://umeshmultiservices.com/,,,,4.5,144,,,Operational,"https://www.google.com/maps/place/Umesh+Electrical+Services/@12.9427762,77.6217642,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae14463ba77725:0xab15cf7f127c6e20!8m2!3d12.9427762!4d77.6217642!16s%2Fg%2F11bw680cd2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:16.650525
AS Electrical,Electrician,"No 1, 32, 1st Main Rd, New Gurappana Palya, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9237397,77.6040436,08217639980,,,Saturday10 am–10 pmSunday10 am–10 pmMonday10 am–10 pmTuesday10 am–10 pmWednesday10 am–10 pmThursday10 am–10 pmFriday10 am–10 pmSuggest new hours,,4.5,17,,,Operational,"https://www.google.com/maps/place/AS+Electrical/@12.9237397,77.6040436,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15aa69a56f87:0x47ad154ed509de4f!8m2!3d12.9237397!4d77.6040436!16s%2Fg%2F1yg4lwmb8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:24.283626
Sarfaraz electrical contractor,Electrical installation service,"18/18, 3rd Main Rd, Old Madiwala, Madiwala, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560068",Bangalore,Karnataka,560068,12.9232629,77.6163292,,https://sites.google.com/view/www-sarfaraz-com,,,,5.0,6,,,Operational,"https://www.google.com/maps/place/Sarfaraz+electrical+contractor/@12.9232629,77.6163292,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15002c038c0b:0xec2d5bb5523c0d7f!8m2!3d12.9232629!4d77.6163292!16s%2Fg%2F11wbjmzfx3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:33.206381
Martina Electricals,Electrical supply store,"SG Palya 5cross, 1st Main Rd, DRC Post, Venkateshwara Layout, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9326522,77.6072727,09886108859,,,Saturday9 am–10:30 pmSunday9 am–10:30 pmMonday9 am–10:30 pmTuesday9 am–10:30 pmWednesday9 am–10:30 pmThursday9 am–10:30 pmFriday9 am–10:30 pmSuggest new hours,,3.7,6,,,Operational,"https://www.google.com/maps/place/Martina+Electricals/@12.9326522,77.6072727,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15ad3131344f:0x595ddd03c0e5983b!8m2!3d12.9326522!4d77.6072727!16s%2Fg%2F11g6n_mr_v?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:40.827553
Planet Electricals - Electricians in Every Area of Bangalore,Electrician,"15, 1st Cross Rd, Vinayaka Nagar, Nanjundeswara Layout, J P Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078",Bangalore,Karnataka,560078,12.9005929,77.5884972,09110819125,https://electricianbangalore.com/,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.7,1066,,,Operational,"https://www.google.com/maps/place/Planet+Electricals+-+Electricians+in+Every+Area+of+Bangalore/@12.9005929,77.5884972,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae13a2e9f29fd1:0x4ab2f310eb28f68!8m2!3d12.9005929!4d77.5884972!16s%2Fg%2F11fr4swdvx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:46.712795
Shankar Electricals Services (I) Pvt Ltd.,Electrical engineer,"Shree Devi Arcade, 668/A, 17th C Main Rd, 6th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,Karnataka,560095,12.9373037,77.6241786,08025521888,http://www.sesipl.com/,,SaturdayClosedSundayClosedMondayClosedTuesday9 am–7 pmWednesday9 am–7 pmThursday9 am–7 pmFriday9 am–7 pmSuggest new hours,False,4.4,441,,,Operational,"https://www.google.com/maps/place/Shankar+Electricals+Services+(I)+Pvt+Ltd./@12.9373037,77.6241786,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae144488956845:0x55517270ee2f9a1b!8m2!3d12.9373037!4d77.6241786!16s%2Fg%2F1yg6d168j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:39:53.298255
M.A.Chill&current fix,Electrician,"BTM Layout 1st main, 1st Cross Rd, New Gurappana Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9238872,77.6045887,07022608017,,,Saturday9 am–7 pmSundayClosedMonday9 am–7 pmTuesday9 am–7 pmWednesday9 am–7 pmThursday9 am–7 pmFriday9 am–7 pmSuggest new hours,False,4.9,8,,,Operational,"https://www.google.com/maps/place/M.A.Chill%26current+fix/@12.9238872,77.6045887,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15618ff105ff:0xb0ea8e856af7d35c!8m2!3d12.9238872!4d77.6045887!16s%2Fg%2F11ylzp4qzc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:01.395485
Sai Krupa Electrical Services,Electronics repair shop,"Sai Krupa Electrical Services, Bharathi Layout, Balaji Nagar, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9277745,77.6072858,09980147831,,,,,,,,,Operational,"https://www.google.com/maps/place/Sai+Krupa+Electrical+Services/@12.9277745,77.6072858,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15863ca45daf:0x7f662dad60d822f7!8m2!3d12.9277745!4d77.6072858!16s%2Fg%2F11zd813jtt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:12.324056
S&P Electrical Service and installation,Electrical installation service,"Abhilash Building, 1st Main Rd, near Nanjappa layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,Karnataka,560095,12.9419973,77.6174459,08917676381,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,3,,,Operational,"https://www.google.com/maps/place/S%26P+Electrical+Service+and+installation/@12.9419973,77.6174459,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae152d03cdb3ab:0xa8f34d39e20789e5!8m2!3d12.9419973!4d77.6174459!16s%2Fg%2F11l721yhlj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:19.935267
UMA MAHESHWARI,Electrician,"103, 1st Main Rd, near LAKSHMI THEATRE, Tavarekere, Balaji Nagar, S.G. Palya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9251612,77.6082899,09945595937,,,,,5.0,,,,Operational,"https://www.google.com/maps/place/UMA+MAHESHWARI/@12.9251612,77.6082899,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15aaf5b6d1e9:0x5fe94409fe7d7ae1!8m2!3d12.9251612!4d77.6082899!16s%2Fg%2F11yfby6wv5?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:28.307484
Sadik Khan Electrician work,Electrical installation service,"WJC3+WV5, 8th Main Rd, Tavarekere, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9222692,77.6047288,,https://www.instagram.com/official_star_boy143?igsh=MWpnMDFvNm9zbmR2Yw==,,Saturday9:30 am–9 pmSunday9:30 am–9 pmMonday9:30 am–9 pmTuesday9:30 am–9 pmWednesday9:30 am–9 pmThursday9:30 am–9 pmFriday3–9 pmSuggest new hours,,3.0,,,,Operational,"https://www.google.com/maps/place/Sadik+Khan+Electrician+work/@12.9222692,77.6047288,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15003b8b57ab:0x1a8eff2184823a09!8m2!3d12.9222692!4d77.6047288!16s%2Fg%2F11x0fbq4yt?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:35.735248
Lj Electrical & Maintainence works,Electrical installation service,"Block 4, Chandra Reddy Layout, S T Bed Layout, Koramangala, Bengaluru, Karnataka 560047",Bangalore,Karnataka,560047,12.9372817,77.6308919,09480707551,,,Friday12–6:30 am9 am–12 amSaturday12–6:30 am9 am–12 amSunday12–6:30 amMonday9:30 am–12 amTuesday12–6:30 am9 am–12 amWednesday12 am–7 pmThursday9 am–12 amSuggest new hours,,5.0,18,,,Operational,"https://www.google.com/maps/place/Lj+Electrical+%26+Maintainence+works/@12.9372817,77.6308919,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae14677a117163:0xb10ff456107acf88!8m2!3d12.9372817!4d77.6308919!16s%2Fg%2F11b77znm0t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:43.150160
Future max Contracting private limited,Real Estate Builders & Construction Company,"Prestige Cube,Ground floor, Site, Bengaluru, Karnataka 560030. 26 Laskar, Hosur Rd Chikku Lakshmaiah Layout, Adugodi, Koramangala, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560030,12.9362488,77.6102036,09443949611,https://futuremaxengg.com/,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,39,,,Operational,"https://www.google.com/maps/place/Future+max+Contracting+private+limited/@12.9362488,77.6102036,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15b4b4472ea5:0xd98447ff1349ea3e!8m2!3d12.9362488!4d77.6102036!16s%2Fg%2F11rkpp8dvb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:48.944457
M I Solutions,Electrician,"5/48, 1st Cross 3rd Main road, Bannerghatta Rd, Bismillahnagar, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9264654,77.6018777,09740650637,,,,,5.0,,,,Operational,"https://www.google.com/maps/place/M+I+Solutions/@12.9264654,77.6018777,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1515ebf6737b:0xf7215a4c4f010b90!8m2!3d12.9264654!4d77.6018777!16s%2Fg%2F11lty0k4yx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:40:57.553957
K. H ELECTRICAL WORK electrician,Electrical engineer,"20-17, 1st Cross Rd, Tavarekere, New Gurappana Palya, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9232032,77.6058157,09972014671,,,,,5.0,63,,,Operational,"https://www.google.com/maps/place/K.+H+ELECTRICAL+WORK+electrician/@12.9232032,77.6058157,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1552d68fae89:0x7d23fb47b6acc450!8m2!3d12.9232032!4d77.6058157!16s%2Fg%2F11grc7v_lm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:41:05.153153
A2Z Plumbing and Sanitary works,Plumber,"Block 822 1st main, Koramangala 8th, 8th Main Rd, KHB Colony, Rajendra Nagar, Koramangala, Bengaluru, Karnataka 560047",Bangalore,Karnataka,560047,12.9378352,77.6209273,09110252658,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.2,96,,,Operational,"https://www.google.com/maps/place/A2Z+Plumbing+and+Sanitary+works/@12.9378352,77.6209273,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae14371b905225:0xe0c9eadc139d7d4f!8m2!3d12.9378352!4d77.6209273!16s%2Fg%2F11cn93xd0j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:41:27.001221
HOME PLUMBER - PLUMBING SERVICES,Plumber,"27, venkateshware Complex, Tavarekere Main Rd, Tavarekere, Balaji Nagar, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9259349,77.6087524,09353497181,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.6,18,,,Operational,"https://www.google.com/maps/place/HOME+PLUMBER+-+PLUMBING+SERVICES/@12.9259349,77.6087524,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15146d1b8855:0xb717438bcf5a2e94!8m2!3d12.9259349!4d77.6087524!16s%2Fg%2F11fm_4995t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:41:35.162382
Gopi Plumbing & Technical Services,Plumber,"WJV7+57F, Koramangala Rd, Balappa Layout, Adugodi, Bengaluru, Karnataka 560030",Bangalore,Karnataka,560030,12.9429377,77.6131571,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.7,11,,,Operational,"https://www.google.com/maps/place/Gopi+Plumbing+%26+Technical+Services/@12.9429377,77.6131571,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1545322a7427:0x691e65a3358ca7f5!8m2!3d12.9429377!4d77.6131571!16s%2Fg%2F11vkhz_76s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:41:44.841837
Lakshmi Plumbing works,Plumber,"3rd Cross Rd, Rajendra Nagar, Koramangala, Bengaluru, Karnataka 560047",Bangalore,Karnataka,560047,12.9467621,77.6189901,09972019812,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,4.7,38,,,Operational,"https://www.google.com/maps/place/Lakshmi+Plumbing+works/@12.9467621,77.6189901,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1537c0c702f3:0x14b6c0ef47f6a252!8m2!3d12.9467621!4d77.6189901!16s%2Fg%2F11xknz13b8?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:41:52.854157
Sri venkateshwara plumbing works,Plumber,"117 2nd MAIN, 2nd Cross Rd, Tavarekere, Brindavan Nagar, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9255202,77.6102431,09886801422,,,,,4.1,9,,,Operational,"https://www.google.com/maps/place/Sri+venkateshwara+plumbing+works/@12.9255202,77.6102431,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15a2b58b14e5:0xfb3de0d499b12238!8m2!3d12.9255202!4d77.6102431!16s%2Fg%2F11ffm20684?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:01.649779
Ishvara Plumber,Plumber,"560, 1st Main Rd, Rajendra Nagar, Koramangala, Bengaluru, Karnataka 560047",Bangalore,Karnataka,560047,12.9471937,77.618157,,,,SaturdayOpen 24 hoursSundayOpen 24 hoursMondayOpen 24 hoursTuesdayOpen 24 hoursWednesdayOpen 24 hoursThursdayOpen 24 hoursFridayOpen 24 hoursSuggest new hours,,5.0,,,,Operational,"https://www.google.com/maps/place/Ishvara+Plumber/@12.9471937,77.618157,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15e1b03239ad:0xd2777a22a9ac7406!8m2!3d12.9471937!4d77.618157!16s%2Fg%2F11z0y_jwkl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:10.889541
Rupachandra Plumbing Services,Plumber,"2nd floor, 10th cross, 29th Main Rd, EWS Colony, BTM Layout 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076",Bangalore,Karnataka,560076,12.9084444,77.613169,09980798772,,,Saturday5:30 am–9 pmSunday5:30 am–9:30 pmMonday5:30 am–9:30 pmTuesday5:30 am–9:30 pmWednesday5:30 am–9:30 pmThursday5:30 am–9:30 pmFriday5:30 am–9:30 pmSuggest new hours,,4.9,454,,,Operational,"https://www.google.com/maps/place/Rupachandra+Plumbing+Services/@12.9084444,77.613169,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15716cc18799:0xecb6f7a4456b830f!8m2!3d12.9084444!4d77.613169!16s%2Fg%2F11gwmsr9w_?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:18.481398
NM GROUP Plumbing Work,Plumber,"Stage, 12/1, 3rd Cross Rd, Narayana Gowda layout, Cashier Layout, 1st Stage, BTM 1st Stage, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9223438,77.6124976,09741141498,http://www.nmgroupplumbingwork.in/,,Saturday9 am–6 pmSunday9 am–6 pmMonday9 am–6 pmTuesday9 am–6 pmWednesday9 am–6 pmThursday9 am–6 pmFriday9 am–6 pmSuggest new hours,,4.7,128,,,Operational,"https://www.google.com/maps/place/NM+GROUP+Plumbing+Work/@12.9223438,77.6124976,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae150b2f96f2b7:0x896743cc17cfcd44!8m2!3d12.9223438!4d77.6124976!16s%2Fg%2F11fnqwyqxz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:25.014868
Divya Rajkumar Plumbing Works,Plumbing supply store,"Shop No.# 294, 17th E Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",Bangalore,Karnataka,560095,12.935479,77.6190149,09620500494,,,Saturday9 am–8 pmSunday9 am–8 pmMonday9 am–8 pmTuesday9 am–8 pmWednesday9 am–8 pmThursday9 am–8 pmFriday9 am–8 pmSuggest new hours,,4.8,4,"·

Delivery
",,Operational,"https://www.google.com/maps/place/Divya+Rajkumar+Plumbing+Works/@12.935479,77.6190149,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae144ff666500d:0x6b48100bdf2d7574!8m2!3d12.935479!4d77.6190149!16s%2Fg%2F1pt_yln1l?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:30.846872
Sanjaya,Plumber,"C24, Bharathi Layout, Balaji Nagar, Sadduguntepalya, Bengaluru, Karnataka 560029",Bangalore,Karnataka,560029,12.9277468,77.6070012,,,,,,,,,,Operational,"https://www.google.com/maps/place/Sanjaya/@12.9277468,77.6070012,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15003db6cf5f:0x8668cd7effebed79!8m2!3d12.9277468!4d77.6070012!16s%2Fg%2F11nqg0m8k0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDgwNS4xIKXMDSoASAFQAw%3D%3D",2026-08-08T02:42:43.545338
